id,codigo,nombre,ubicacion
PH332,PH332,Parada / Parque André Jarlan,POINT(-70.67241300413073 -33.48599899749269)
PH333,PH333,Parada / Estadio Corvi,POINT(-70.670578000669 -33.48218899603079)
PH334,PH334,Clotario Blest / esq. Av.Carlos Valdovinos,POINT(-70.66911399566105 -33.47915999850867)
PH335,PH335,Bascuñán Guerrero / esq. El Carmelo,POINT(-70.6715130040421 -33.47772500067733)
PA287,PA287,Bascuñán Guerrero / esq. Siria,POINT(-70.67155399947582 -33.47336199668979)
PA9,PA9,Parada 2 / Rondizzoni - Bascuñán,POINT(-70.67158770750235 -33.46976006039792)
PA10,PA10,Bascuñán Guerrero / esq. Avenida El Mirador,POINT(-70.67162799969395 -33.466766995373426)
PA695,PA695,Bascuñán Guerrero / esq. Espiñeira,POINT(-70.67203580447138 -33.46486270625524)
PA11,PA11,Bascuñán Guerrero / esq. Fray De La Peña,POINT(-70.67252180272425 -33.46268386580566)
PA12,PA12,Bascuñán Guerrero / esq. Av. Blanco Encalada,POINT(-70.67347253707042 -33.458743791288235)
PA289,PA289,Parada 1 / Molina - Blanco,POINT(-70.67241750685535 -33.45855899978815)
PA291,PA291,Avenida República / esq. Gay,POINT(-70.66665130506622 -33.45580386995312)
PA292,PA292,Avenida República / esq. Gorbea,POINT(-70.66716699982241 -33.45353200276854)
PA293,PA293,Avenida República / esq. Sazié,POINT(-70.66770499454643 -33.45127199870158)
PA294,PA294,Parada 4 / (M) República,POINT(-70.66811511836562 -33.449203050184366)
PA817,PA817,Parada / Liceo de Aplicación,POINT(-70.66760293448027 -33.44656102040349)
PA295,PA295,Av. Ricardo Cumming / esq. Moneda,POINT(-70.66769742781597 -33.44403419668805)
PA296,PA296,Av. Ricardo Cumming / esq. Compañía de Jesús,POINT(-70.66830099825141 -33.44060599603602)
PA297,PA297,Parada / Plaza Brasil,POINT(-70.66518042749773 -33.439980156700585)
PA726,PA726,Almirante Barroso / esq. Santo Domingo,POINT(-70.66245651283747 -33.43757321962742)
PA425,PA425,Almirante Barroso / esq. San Pablo,POINT(-70.66272197518423 -33.43493416907234)
PA352,PA352,Parada / Hospital Traumatológico,POINT(-70.65924705016229 -33.434575529267434)
PA601,PA601,San Pablo / esq. Teatinos,POINT(-70.6560308684786 -33.43444400494335)
PA221,PA221,Parada 10 / Estación Mapocho,POINT(-70.65306299583015 -33.43398000136978)
PA353,PA353,Parada 4 / Mercado Central,POINT(-70.64811100047838 -33.434176001492936)
PA214,PA214,Av. Pdte. Balmaceda / esq. Hnos. Amunátegui,POINT(-70.65729366497042 -33.431884183100266)
PA305,PA305,Parada / Mercado de Anticuarios,POINT(-70.66584185362754 -33.43023806836035)
PH341,PH341,Club Hípico / esq. Angel Guarello,POINT(-70.66743600407167 -33.49092999830043)
PH342,PH342,Club Hípico / esq. Avenida La Marina,POINT(-70.66862999990013 -33.49276100309987)
PH343,PH343,Club Hípico / esq. Avenida Lazo,POINT(-70.67026400417637 -33.49525099847485)
PH344,PH344,Club Hípico / esq. Av. Departamental,POINT(-70.67165506523189 -33.497345042240504)
PH345,PH345,Club Hípico / esq. Vecinal,POINT(-70.67307799908254 -33.49984499536979)
PH346,PH346,Parada / Estadio Dávila,POINT(-70.67401411124438 -33.50113637055497)
PH347,PH347,Parada 1 / Plaza Miguel Dávila Carson,POINT(-70.67547299154658 -33.503301125874884)
PH255,PH255,Avenida Lo Ovalle / esq. Los Cardenales,POINT(-70.67927800285031 -33.50777299697828)
PH349,PH349,Avenida Lo Ovalle / esq. Av. Clotario Blest,POINT(-70.68261799661 -33.5063190026598)
PH1478,PH1478,Maipú / esq. Punto IV,POINT(-70.68562344782087 -33.50732689808138)
PH1516,PH1516,Buenaventura / esq. Arturo Alessandri,POINT(-70.6867777768639 -33.508127654950265)
PH60,PH60,Card. Raúl Silva H. / esq. Pasaje 3 Sur,POINT(-70.69016689088028 -33.50826744193374)
PH61,PH61,Card. Raúl Silva H. / esq. Pasaje 7 Sur,POINT(-70.69097523468004 -33.50992245599884)
PH62,PH62,Card. Raúl Silva H. / esq. Pasaje 11 Sur,POINT(-70.69181100471535 -33.51158499805501)
