id,nombre,destino,tipo,frecuencias
206,206,La Pintana,3,"[[0, 3600, 1800], [3600, 19800, 5400], [19800, 23400, 450], [19800, 27000, 1200], [23400, 28800, 415], [23400, 32400, 750], [27000, 46800, 1042], [28800, 34200, 490], [32400, 43200, 771], [34200, 45000, 490], [43200, 54000, 771], [45000, 50400, 450], [46800, 64800, 782], [50400, 59400, 500], [54000, 70200, 900], [59400, 66600, 600], [64800, 75600, 830], [66600, 73800, 600], [70200, 79200, 900], [73800, 79200, 675], [75600, 79200, 900], [79200, 86400, 900]]"
206c,206c,(M) Bio Bio,3,"[[19800, 23400, 900], [23400, 28800, 675], [28800, 34200, 1800], [59400, 66600, 654], [66600, 73800, 600], [73800, 79200, 1080]]"
207,207,Av. Santa Rosa,3,"[[0, 3600, 1800], [3600, 19800, 1620], [19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 450], [23400, 32400, 600], [27000, 46800, 761], [28800, 34200, 450], [32400, 43200, 600], [34200, 45000, 450], [43200, 54000, 540], [45000, 50400, 450], [46800, 64800, 818], [50400, 59400, 450], [54000, 70200, 600], [59400, 66600, 480], [64800, 75600, 720], [66600, 73800, 514], [70200, 79200, 642], [73800, 79200, 600], [75600, 79200, 720], [79200, 86400, 800]]"
207e,207e,Mapocho,3,"[[23400, 28800, 490], [28800, 34200, 1800], [59400, 66600, 514], [66600, 73800, 553], [73800, 79200, 771], [79200, 86400, 1800]]"
208,208,Centro,3,"[[19800, 23400, 276], [19800, 27000, 900], [23400, 28800, 300], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 300], [32400, 43200, 635], [34200, 45000, 431], [43200, 54000, 568], [45000, 50400, 450], [46800, 64800, 900], [50400, 59400, 450], [54000, 70200, 704], [59400, 66600, 342], [64800, 75600, 900], [66600, 73800, 360], [70200, 79200, 818], [73800, 79200, 540], [75600, 79200, 900], [79200, 86400, 800]]"
209,209,El Volcan,3,"[[0, 3600, 1200], [19800, 23400, 720], [19800, 27000, 1200], [23400, 28800, 600], [23400, 32400, 750], [27000, 46800, 825], [28800, 34200, 540], [32400, 43200, 720], [34200, 45000, 675], [43200, 54000, 600], [45000, 50400, 675], [46800, 64800, 750], [50400, 59400, 600], [54000, 70200, 736], [59400, 66600, 514], [64800, 75600, 720], [66600, 73800, 514], [70200, 79200, 750], [73800, 79200, 675], [75600, 79200, 900], [79200, 86400, 900]]"
210,210,Puente Alto,3,"[[0, 3600, 1200], [3600, 19800, 1800], [19800, 23400, 400], [19800, 27000, 720], [23400, 28800, 317], [23400, 32400, 750], [27000, 46800, 825], [28800, 34200, 337], [32400, 43200, 720], [34200, 45000, 431], [43200, 54000, 540], [45000, 50400, 450], [46800, 64800, 818], [50400, 59400, 450], [54000, 70200, 648], [59400, 66600, 360], [64800, 75600, 900], [66600, 73800, 327], [70200, 79200, 600], [73800, 79200, 415], [75600, 79200, 900], [79200, 86400, 720]]"
210e,210e,Puente Alto,3,"[[23400, 28800, 1800], [28800, 34200, 5400], [59400, 66600, 1440], [66600, 73800, 720]]"
210v,210v,Av. Mexico,3,"[[0, 3600, 1800], [3600, 19800, 1800], [19800, 23400, 720], [19800, 27000, 720], [23400, 28800, 600], [23400, 32400, 900], [27000, 46800, 860], [28800, 34200, 771], [32400, 43200, 900], [34200, 45000, 720], [43200, 54000, 720], [45000, 50400, 675], [46800, 64800, 857], [50400, 59400, 692], [54000, 70200, 852], [59400, 66600, 553], [64800, 75600, 830], [66600, 73800, 600], [70200, 79200, 818], [73800, 79200, 600], [75600, 79200, 900], [79200, 86400, 1028]]"
211,211,La Florida,3,"[[3600, 19800, 2700], [19800, 23400, 514], [19800, 27000, 720], [23400, 28800, 540], [23400, 32400, 562], [27000, 46800, 682], [28800, 34200, 600], [32400, 43200, 490], [34200, 45000, 675], [43200, 54000, 514], [45000, 50400, 675], [46800, 64800, 666], [50400, 59400, 600], [54000, 70200, 522], [59400, 66600, 553], [64800, 75600, 675], [66600, 73800, 553], [70200, 79200, 692], [73800, 79200, 771], [75600, 79200, 900], [79200, 86400, 1440]]"
212,212,Mall Costanera Center,3,"[[19800, 23400, 327], [19800, 27000, 800], [23400, 28800, 360], [23400, 32400, 692], [27000, 46800, 825], [28800, 34200, 450], [32400, 43200, 600], [34200, 45000, 469], [43200, 54000, 771], [45000, 50400, 415], [46800, 64800, 750], [50400, 59400, 409], [54000, 70200, 852], [59400, 66600, 342], [64800, 75600, 900], [66600, 73800, 400], [70200, 79200, 900], [73800, 79200, 490], [75600, 79200, 900], [79200, 86400, 800]]"
213e,213e,Puente Alto,3,"[[19800, 23400, 1200], [23400, 28800, 600], [28800, 34200, 600], [34200, 45000, 600], [45000, 50400, 600], [50400, 59400, 600], [59400, 66600, 600], [66600, 73800, 600], [73800, 79200, 771], [79200, 86400, 900]]"
214,214,Los Libertadores,3,"[[19800, 23400, 600], [19800, 27000, 1200], [23400, 28800, 450], [23400, 32400, 750], [27000, 46800, 860], [28800, 34200, 540], [32400, 43200, 675], [34200, 45000, 675], [43200, 54000, 771], [45000, 50400, 771], [46800, 64800, 900], [50400, 59400, 600], [54000, 70200, 704], [59400, 66600, 553], [64800, 75600, 900], [66600, 73800, 600], [70200, 79200, 900], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1028]]"
216,216,Pablo De Rokha,3,"[[0, 3600, 1800], [19800, 23400, 514], [19800, 27000, 1200], [23400, 28800, 257], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 415], [32400, 43200, 900], [34200, 45000, 514], [43200, 54000, 675], [45000, 50400, 450], [46800, 64800, 900], [50400, 59400, 450], [54000, 70200, 704], [59400, 66600, 360], [64800, 75600, 900], [66600, 73800, 423], [70200, 79200, 562], [73800, 79200, 675], [75600, 79200, 900], [79200, 86400, 900]]"
217e,217e,(M) Santa Ana,3,"[[19800, 23400, 1200], [23400, 28800, 1080], [28800, 34200, 1350], [59400, 66600, 2400], [66600, 73800, 1200]]"
219e,219e,Ciudad Empresarial,3,"[[19800, 23400, 514], [23400, 28800, 490], [28800, 34200, 600], [59400, 66600, 1440], [66600, 73800, 720], [73800, 79200, 2700]]"
223,223,Lo Espejo,3,"[[0, 3600, 1200], [19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 415], [23400, 32400, 692], [27000, 46800, 707], [28800, 34200, 540], [32400, 43200, 720], [34200, 45000, 600], [43200, 54000, 635], [45000, 50400, 675], [46800, 64800, 750], [50400, 59400, 600], [54000, 70200, 736], [59400, 66600, 514], [64800, 75600, 771], [66600, 73800, 423], [70200, 79200, 750], [73800, 79200, 675], [75600, 79200, 720], [79200, 86400, 900]]"
224,224,Ñuñoa,3,"[[19800, 23400, 600], [19800, 27000, 800], [23400, 28800, 600], [23400, 32400, 750], [27000, 46800, 860], [28800, 34200, 600], [32400, 43200, 771], [34200, 45000, 830], [43200, 54000, 720], [45000, 50400, 490], [46800, 64800, 818], [50400, 59400, 600], [54000, 70200, 736], [59400, 66600, 514], [64800, 75600, 830], [66600, 73800, 654], [70200, 79200, 818], [73800, 79200, 675], [75600, 79200, 1800], [79200, 86400, 1440]]"
225,225,Las Condes,3,"[[19800, 23400, 514], [19800, 27000, 900], [23400, 28800, 540], [23400, 32400, 692], [27000, 46800, 900], [28800, 34200, 600], [32400, 43200, 830], [34200, 45000, 635], [43200, 54000, 830], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 600], [54000, 70200, 810], [59400, 66600, 600], [64800, 75600, 900], [66600, 73800, 600], [70200, 79200, 750], [73800, 79200, 771], [75600, 79200, 900], [79200, 86400, 1028]]"
226,226,Nonato Coo,3,"[[0, 3600, 1800], [19800, 23400, 900], [19800, 27000, 1028], [23400, 28800, 540], [23400, 32400, 818], [27000, 46800, 792], [28800, 34200, 600], [32400, 43200, 771], [34200, 45000, 635], [43200, 54000, 720], [45000, 50400, 540], [46800, 64800, 750], [50400, 59400, 642], [54000, 70200, 736], [59400, 66600, 400], [64800, 75600, 720], [66600, 73800, 480], [70200, 79200, 818], [73800, 79200, 675], [75600, 79200, 720], [79200, 86400, 1028]]"
227,227,La Reina,3,"[[19800, 23400, 720], [19800, 27000, 900], [23400, 28800, 600], [23400, 32400, 900], [27000, 46800, 900], [28800, 34200, 675], [32400, 43200, 771], [34200, 45000, 771], [43200, 54000, 720], [45000, 50400, 600], [46800, 64800, 818], [50400, 59400, 600], [54000, 70200, 736], [59400, 66600, 800], [64800, 75600, 830], [66600, 73800, 720], [70200, 79200, 900], [73800, 79200, 675], [75600, 79200, 900], [79200, 86400, 1028]]"
229,229,La Pintana,3,"[[19800, 23400, 1200], [19800, 27000, 1440], [23400, 28800, 540], [23400, 32400, 900], [27000, 46800, 900], [28800, 34200, 771], [32400, 43200, 830], [34200, 45000, 635], [43200, 54000, 830], [45000, 50400, 771], [46800, 64800, 818], [50400, 59400, 600], [54000, 70200, 810], [59400, 66600, 553], [64800, 75600, 830], [66600, 73800, 600], [70200, 79200, 818], [73800, 79200, 600], [75600, 79200, 1200], [79200, 86400, 1800]]"
230,230,Centro,3,"[[0, 3600, 1800], [3600, 19800, 1620], [19800, 23400, 720], [19800, 27000, 900], [23400, 28800, 600], [23400, 32400, 818], [27000, 46800, 900], [28800, 34200, 675], [32400, 43200, 771], [34200, 45000, 771], [43200, 54000, 830], [45000, 50400, 771], [46800, 64800, 900], [50400, 59400, 818], [54000, 70200, 900], [59400, 66600, 720], [64800, 75600, 830], [66600, 73800, 654], [70200, 79200, 900], [73800, 79200, 900], [75600, 79200, 900], [79200, 86400, 1028]]"
233,233,(M) B. De La Florida,3,"[[19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 490], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 771], [32400, 43200, 720], [34200, 45000, 720], [43200, 54000, 771], [45000, 50400, 675], [46800, 64800, 1000], [50400, 59400, 750], [54000, 70200, 900], [59400, 66600, 514], [64800, 75600, 1200], [66600, 73800, 600], [70200, 79200, 1125], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1800]]"
234,234,Ejercito Libertador,3,"[[19800, 23400, 900], [19800, 27000, 1200], [23400, 28800, 540], [23400, 32400, 900], [27000, 46800, 1164], [28800, 34200, 771], [32400, 43200, 900], [34200, 45000, 771], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 1200], [50400, 59400, 750], [54000, 70200, 900], [59400, 66600, 600], [64800, 75600, 1200], [66600, 73800, 720], [70200, 79200, 900], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 900]]"
